amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
171-0879850-2346722	171-0879850-2346722	2017-07-24T04:30:44+00:00	2017-07-24T11:25:50+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	849.0		50.0					50.0	Rajsamand	RAJASTHAN	313324	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
402-2323664-3289142	402-2323664-3289142	2017-07-24T00:34:35+00:00	2017-07-24T08:18:51+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	2	INR	1698.0								KALYAN	MAHARASHTRA	421005	IN		
405-0508851-7048309	405-0508851-7048309	2017-07-23T03:09:20+00:00	2017-07-23T06:03:27+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0		50.0					50.0	cuttack	odisha	753008	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
408-6133060-0265152	408-6133060-0265152	2017-07-22T02:54:33+00:00	2017-07-22T06:22:42+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0						90.0		Bangalore	Karnataka	560103	IN		
406-1553755-5989135	406-1553755-5989135	2017-07-22T02:52:12+00:00	2017-07-22T06:22:41+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0						90.0		BENGALURU	KARNATAKA	560103	IN		
405-5018781-7849123	405-5018781-7849123	2017-07-21T15:24:32+00:00	2017-07-21T18:24:08+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0								NEW DELHI	DELHI	110053	IN		
408-8914423-9379525	408-8914423-9379525	2017-07-21T14:15:04+00:00	2017-07-21T15:58:04+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		50.0					50.0	PATRAN	PUNJAB	147105	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
408-2313294-4145131	408-2313294-4145131	2017-07-21T04:42:42+00:00	2017-07-21T12:44:37+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	1	INR	0.0								MUMBAI	MAHARASHTRA	400052	IN		
406-9784355-6068319	406-9784355-6068319	2017-07-20T17:50:19+00:00	2017-07-20T22:42:23+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		50.0					50.0	BENGALURU	KARNATAKA	560068	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
171-9494837-3261108		2017-07-19T16:00:07+00:00	2017-07-20T09:59:36+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	949.0	207.59	0.0		0.0				AHMEDABAD	GUJARAT	380023	IN		Easy Ship
